# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 710 (N) to 723 (O)
# NetCDF Frame dimension: 875
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1     -15.5904      -0.0425     -15.6329
            2      -8.0718      -4.1145     -12.1863
            3     -10.9640      -3.2001     -14.1641
            4     -12.3935      -2.2306     -14.6241
            5     -15.2203      -2.3962     -17.6165
            6     -13.2177      -0.5679     -13.7856
            7     -13.7422      -3.2659     -17.0080
            8     -11.5129      -1.9392     -13.4521
            9      -9.5470      -3.4137     -12.9608
           10     -10.4134      -3.3357     -13.7490
           11     -10.4806      -3.2248     -13.7054
           12     -13.1922      -1.3269     -14.5191
           13     -15.0428      -1.9552     -16.9980
           14     -14.8746      -1.8511     -16.7258
           15     -10.1638      -1.8378     -12.0015
           16     -13.3011      -2.8190     -16.1201
           17     -14.5697      -1.9459     -16.5156
           18      -9.8445      -1.0114     -10.8559
           19      -9.0416      -2.1663     -11.2079
           20      -8.4680      -3.7606     -12.2286
           21      -6.3329      -2.8831      -9.2160
           22      -9.6286      -2.7757     -12.4043
           23     -12.1937      -2.9923     -15.1860
           24     -11.8730      -2.4829     -14.3559
           25      -7.4977      -3.9271     -11.4247
           26     -11.9462      -2.6113     -14.5575
           27      -7.7375      -2.8007     -10.5382
           28     -11.1229      -3.1544     -14.2773
           29      -8.3984      -3.1235     -11.5220
