# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# And atom 1 (C12) to 56 (H30).
# NetCDF Frame dimension: 342
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1     -34.8631     -54.8054     -89.6686
            2     -27.3779     -55.0505     -82.4284
            3     -30.0759     -57.7878     -87.8637
            4     -31.5655     -55.7633     -87.3288
            5     -36.2895     -51.1672     -87.4567
            6     -34.8480     -51.4283     -86.2763
            7     -27.8737     -55.0849     -82.9586
            8     -40.0142     -49.3604     -89.3746
            9     -28.1634     -56.7939     -84.9572
           10     -29.3470     -55.0926     -84.4397
           11     -28.0149     -56.3824     -84.3974
           12     -30.9672     -54.2664     -85.2336
           13     -34.2506     -51.5019     -85.7525
           14     -35.2493     -54.0867     -89.3360
           15     -34.2147     -51.4882     -85.7030
           16     -34.5913     -55.6049     -90.1962
           17     -34.0956     -52.3625     -86.4581
           18     -29.0336     -52.5307     -81.5643
           19     -33.6552     -51.0821     -84.7373
           20     -28.8842     -54.6248     -83.5091
           21     -28.5685     -56.6837     -85.2522
           22     -18.6982     -57.2765     -75.9746
           23     -27.4606     -56.7982     -84.2589
           24     -32.0395     -54.4165     -86.4559
           25     -27.3994     -52.8897     -80.2891
           26     -29.8912     -53.1157     -83.0069
           27     -27.8356     -56.7161     -84.5516
           28     -28.3541     -53.6405     -81.9946
           29     -27.2999     -54.6074     -81.9073
           30     -26.4822     -61.4179     -87.9000
           31     -26.8900     -56.2798     -83.1698
           32     -27.6405     -55.6996     -83.3401
           33     -28.3528     -57.2868     -85.6396
           34     -35.5253     -53.1383     -88.6636
           35     -23.0155     -57.2912     -80.3067
           36     -27.1858     -55.4380     -82.6238
           37     -26.3889     -50.1695     -76.5583
           38     -24.2454     -51.0212     -75.2665
           39     -27.7996     -55.3666     -83.1663
           40     -32.4762     -54.1032     -86.5794
           41     -34.0185     -52.0764     -86.0949
           42     -30.7105     -56.2353     -86.9457
           43     -28.2237     -52.7414     -80.9651
           44     -28.7222     -54.6336     -83.3558
           45     -36.2111     -52.9937     -89.2048
           46     -33.5764     -58.1636     -91.7400
           47     -27.4823     -56.1757     -83.6580
           48     -27.5974     -52.8571     -80.4545
           49     -34.5212     -55.2350     -89.7562
           50     -27.0736     -52.8035     -79.8770
           51     -34.1601     -51.8220     -85.9821
           52     -30.5015     -55.0370     -85.5384
           53     -27.7664     -52.1324     -79.8988
           54     -36.3938     -51.3691     -87.7629
           55     -44.0592     -43.5315     -87.5907
           56     -25.5371     -54.1227     -79.6597
           57     -32.2733     -50.7758     -83.0491
           58     -30.9102     -56.4252     -87.3354
           59     -26.7213     -54.0726     -80.7939
           60     -27.1705     -53.9657     -81.1362
           61     -27.8473     -55.1495     -82.9969
           62     -28.5778     -53.3317     -81.9095
           63     -28.1607     -58.6596     -86.8203
           64     -37.0406     -55.6395     -92.6800
           65     -31.1337     -46.7719     -77.9056
           66     -32.1663     -54.1703     -86.3366
           67     -35.5061     -50.9092     -86.4152
           68     -32.6929     -47.4951     -80.1880
           69     -31.8839     -48.9952     -80.8791
           70     -37.1448     -50.7760     -87.9207
           71     -31.4153     -51.5665     -82.9818
           72     -34.1713     -54.4929     -88.6642
           73     -35.4044     -49.8130     -85.2174
           74     -34.1771     -51.0511     -85.2282
           75     -31.6119     -54.0227     -85.6346
           76     -37.6670     -51.2513     -88.9183
           77     -33.1617     -54.0810     -87.2427
           78     -32.1111     -56.5363     -88.6475
           79     -36.9112     -47.5306     -84.4418
           80     -33.9560     -52.7581     -86.7141
           81     -44.0457     -47.8025     -91.8482
           82     -35.7961     -56.7391     -92.5351
           83     -33.6312     -55.4238     -89.0550
           84     -30.6952     -49.0172     -79.7124
           85     -37.7171     -50.8720     -88.5891
           86     -39.7804     -47.2862     -87.0666
           87     -44.8231     -48.3046     -93.1277
           88     -22.4441     -56.2862     -78.7304
           89     -29.3616     -55.9490     -85.3106
           90     -31.8221     -54.4428     -86.2649
           91     -35.5226     -53.6347     -89.1573
           92     -28.3251     -54.5494     -82.8745
           93     -25.3318     -56.8708     -82.2026
           94     -28.9671     -54.9980     -83.9651
           95     -39.2421     -50.0173     -89.2593
           96     -37.2774     -50.5348     -87.8123
           97     -30.9960     -56.6513     -87.6473
           98     -33.0361     -53.7828     -86.8188
           99     -35.3986     -49.0855     -84.4841
          100     -30.7858     -54.5025     -85.2882
          101     -24.9524     -53.6545     -78.6069
          102     -34.6467     -53.0265     -87.6732
          103     -29.7255     -53.2238     -82.9493
          104     -31.6035     -53.2862     -84.8897
          105     -37.9400     -49.1368     -87.0767
          106     -39.0672     -52.8854     -91.9526
          107     -35.2331     -51.5451     -86.7782
          108     -37.1421     -47.2915     -84.4336
          109     -28.6903     -54.5640     -83.2543
          110     -24.1439     -56.1242     -80.2681
          111     -32.6502     -52.9021     -85.5523
          112     -28.8207     -55.1580     -83.9787
          113     -37.0196     -51.7174     -88.7371
          114     -49.8681     -51.8910    -101.7591
          115     -41.1969     -53.6348     -94.8317
          116     -40.8159     -53.1038     -93.9198
          117     -33.1777     -49.1587     -82.3365
          118     -35.7902     -51.3484     -87.1386
          119     -31.6124     -49.7572     -81.3696
          120     -35.7600     -54.1314     -89.8914
          121     -32.7376     -47.5866     -80.3242
          122     -21.2836     -57.0530     -78.3366
          123     -34.7342     -53.5086     -88.2428
          124     -39.7486     -49.0466     -88.7952
          125     -35.1700     -53.5008     -88.6707
          126     -35.6316     -53.3382     -88.9698
